"filename", "language", "YAML", "Markdown", "Cabal", "Haskell", "JSON", "comment", "blank", "total"
"e:\REP\server\ChangeLog.md", "Markdown", 0, 2, 0, 0, 0, 0, 2, 4
"e:\REP\server\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 1, 2
"e:\REP\server\Setup.hs", "Haskell", 0, 0, 0, 2, 0, 0, 1, 3
"e:\REP\server\app\Main.hs", "Haskell", 0, 0, 0, 8, 0, 0, 7, 15
"e:\REP\server\package.yaml", "YAML", 61, 0, 0, 0, 0, 6, 9, 76
"e:\REP\server\server.cabal", "Cabal", 0, 0, 176, 0, 0, 5, 7, 188
"e:\REP\server\src\Api.json", "JSON", 0, 0, 0, 0, 113, 0, 0, 113
"e:\REP\server\src\App.hs", "Haskell", 0, 0, 0, 13, 0, 0, 4, 17
"e:\REP\server\src\Config.hs", "Haskell", 0, 0, 0, 198, 0, 0, 23, 221
"e:\REP\server\src\DataBase\Create.hs", "Haskell", 0, 0, 0, 66, 0, 10, 6, 82
"e:\REP\server\src\DataBase\Delete.hs", "Haskell", 0, 0, 0, 35, 0, 0, 3, 38
"e:\REP\server\src\DataBase\Edit.hs", "Haskell", 0, 0, 0, 37, 0, 0, 4, 41
"e:\REP\server\src\DataBase\Get.hs", "Haskell", 0, 0, 0, 125, 0, 0, 10, 135
"e:\REP\server\src\Data\Base.hs", "Haskell", 0, 0, 0, 66, 0, 0, 10, 76
"e:\REP\server\src\Data\Empty.hs", "Haskell", 0, 0, 0, 56, 0, 2, 14, 72
"e:\REP\server\src\Data\Essence.hs", "Haskell", 0, 0, 0, 73, 0, 2, 9, 84
"e:\REP\server\src\Data\Essence\Clause.hs", "Haskell", 0, 0, 0, 68, 0, 0, 9, 77
"e:\REP\server\src\Data\Essence\Methods.hs", "Haskell", 0, 0, 0, 156, 0, 1, 27, 184
"e:\REP\server\src\Data\Essence\Parse.hs", "Haskell", 0, 0, 0, 87, 0, 0, 8, 95
"e:\REP\server\src\Data\Essence\RelationsTree.hs", "Haskell", 0, 0, 0, 17, 0, 0, 2, 19
"e:\REP\server\src\Data\Essence\RelationsTree\Methods.hs", "Haskell", 0, 0, 0, 207, 0, 0, 27, 234
"e:\REP\server\src\Data\Handler.hs", "Haskell", 0, 0, 0, 13, 0, 0, 5, 18
"e:\REP\server\src\Data\MyValue.hs", "Haskell", 0, 0, 0, 139, 0, 0, 12, 151
"e:\REP\server\src\Data\Request\Access.hs", "Haskell", 0, 0, 0, 24, 0, 0, 1, 25
"e:\REP\server\src\Data\Request\Access\Methods.hs", "Haskell", 0, 0, 0, 15, 0, 0, 5, 20
"e:\REP\server\src\Data\Request\Control.hs", "Haskell", 0, 0, 0, 136, 0, 0, 16, 152
"e:\REP\server\src\Data\Request\Handling.hs", "Haskell", 0, 0, 0, 89, 0, 5, 16, 110
"e:\REP\server\src\Data\Request\Method\Methods.hs", "Haskell", 0, 0, 0, 19, 0, 0, 4, 23
"e:\REP\server\src\Data\Request\Params\Methods.hs", "Haskell", 0, 0, 0, 74, 0, 0, 10, 84
"e:\REP\server\src\Data\Required.hs", "Haskell", 0, 0, 0, 34, 0, 1, 3, 38
"e:\REP\server\src\Data\Required\Methods.hs", "Haskell", 0, 0, 0, 67, 0, 1, 8, 76
"e:\REP\server\src\Data\SQL.hs", "Haskell", 0, 0, 0, 135, 0, 3, 21, 159
"e:\REP\server\src\Data\SQL\Actions.hs", "Haskell", 0, 0, 0, 27, 0, 1, 3, 31
"e:\REP\server\src\Data\SQL\ToValue.hs", "Haskell", 0, 0, 0, 50, 0, 0, 11, 61
"e:\REP\server\src\Data\Value.hs", "Haskell", 0, 0, 0, 41, 0, 0, 7, 48
"e:\REP\server\src\Lib.hs", "Haskell", 0, 0, 0, 6, 0, 0, 3, 9
"e:\REP\server\src\Psql.json", "JSON", 0, 0, 0, 0, 7, 0, 1, 8
"e:\REP\server\src\Setup.hs", "Haskell", 0, 0, 0, 128, 0, 6, 19, 153
"e:\REP\server\src\Setup\Test.hs", "Haskell", 0, 0, 0, 61, 0, 0, 6, 67
"e:\REP\server\src\Setup\author.json", "JSON", 0, 0, 0, 0, 18, 0, 0, 18
"e:\REP\server\src\Setup\category.json", "JSON", 0, 0, 0, 0, 19, 0, 0, 19
"e:\REP\server\src\Setup\comment.json", "JSON", 0, 0, 0, 0, 29, 0, 0, 29
"e:\REP\server\src\Setup\draft.json", "JSON", 0, 0, 0, 0, 38, 0, 0, 38
"e:\REP\server\src\Setup\extension.json", "JSON", 0, 0, 0, 0, 4, 0, 0, 4
"e:\REP\server\src\Setup\news.json", "JSON", 0, 0, 0, 0, 45, 0, 0, 45
"e:\REP\server\src\Setup\person.json", "JSON", 0, 0, 0, 0, 33, 0, 0, 33
"e:\REP\server\src\Setup\tag.json", "JSON", 0, 0, 0, 0, 14, 0, 0, 14
"e:\REP\server\src\Tests.hs", "Haskell", 0, 0, 0, 37, 0, 0, 10, 47
"e:\REP\server\src\Tests\Base.hs", "Haskell", 0, 0, 0, 55, 0, 0, 11, 66
"e:\REP\server\src\Tests\Config.hs", "Haskell", 0, 0, 0, 117, 0, 0, 18, 135
"e:\REP\server\src\Tests\Empty.hs", "Haskell", 0, 0, 0, 43, 0, 0, 11, 54
"e:\REP\server\src\Tests\Essence.hs", "Haskell", 0, 0, 0, 49, 0, 0, 6, 55
"e:\REP\server\src\Tests\Essence\Clause.hs", "Haskell", 0, 0, 0, 59, 0, 0, 12, 71
"e:\REP\server\src\Tests\Essence\Methods.hs", "Haskell", 0, 0, 0, 140, 0, 0, 26, 166
"e:\REP\server\src\Tests\Essence\Parse.hs", "Haskell", 0, 0, 0, 127, 0, 0, 14, 141
"e:\REP\server\src\Tests\Essence\RelationsTree\Methods.hs", "Haskell", 0, 0, 0, 101, 0, 0, 18, 119
"e:\REP\server\src\Tests\MyValue.hs", "Haskell", 0, 0, 0, 323, 0, 8, 22, 353
"e:\REP\server\src\Tests\Request.hs", "Haskell", 0, 0, 0, 11, 0, 0, 2, 13
"e:\REP\server\src\Tests\Request\Access\Methods.hs", "Haskell", 0, 0, 0, 17, 0, 0, 7, 24
"e:\REP\server\src\Tests\Request\Control.hs", "Haskell", 0, 0, 0, 51, 0, 0, 11, 62
"e:\REP\server\src\Tests\Request\Method\Methods.hs", "Haskell", 0, 0, 0, 14, 0, 0, 5, 19
"e:\REP\server\src\Tests\Request\Params\Methods.hs", "Haskell", 0, 0, 0, 55, 0, 0, 11, 66
"e:\REP\server\src\Tests\Required\Methods.hs", "Haskell", 0, 0, 0, 62, 0, 0, 12, 74
"e:\REP\server\src\Tests\SQL.hs", "Haskell", 0, 0, 0, 4, 0, 0, 1, 5
"e:\REP\server\src\Tests\SQL\ToValue.hs", "Haskell", 0, 0, 0, 45, 0, 0, 10, 55
"e:\REP\server\src\Tests\Setup.hs", "Haskell", 0, 0, 0, 118, 0, 0, 13, 131
"e:\REP\server\src\Tests\Value.hs", "Haskell", 0, 0, 0, 149, 0, 0, 14, 163
"e:\REP\server\stack.yaml", "YAML", 5, 0, 0, 0, 0, 57, 6, 68
"e:\REP\server\stack.yaml.lock", "YAML", 14, 0, 0, 0, 0, 4, 2, 20
"e:\REP\server\test\Spec.hs", "Haskell", 0, 0, 0, 3, 0, 0, 2, 5
"Total", "-", 80, 3, 176, 3852, 320, 112, 578, 5121